G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
58,Tue Feb 15 2022,7:30p,,Box Score,,Dallas Mavericks,L,,99,107,37,21,L 1,
59,Thu Feb 17 2022,7:00p,,Box Score,@,Charlotte Hornets,W,2OT,111,107,38,21,W 1,
60,Fri Feb 25 2022,7:30p,,Box Score,@,New York Knicks,W,,115,100,39,21,W 2,
61,Sat Feb 26 2022,8:00p,,Box Score,,San Antonio Spurs,W,,133,129,40,21,W 3,
62,Mon Feb 28 2022,7:30p,,Box Score,,Chicago Bulls,W,,112,99,41,21,W 4,
63,Wed Mar 2 2022,8:00p,,Box Score,@,Milwaukee Bucks,L,,119,120,41,22,L 1,
64,Thu Mar 3 2022,7:30p,,Box Score,@,Brooklyn Nets,W,,113,107,42,22,W 1,
65,Sat Mar 5 2022,8:00p,,Box Score,,Philadelphia 76ers,W,,99,82,43,22,W 2,
66,Mon Mar 7 2022,7:30p,,Box Score,,Houston Rockets,W,,123,106,44,22,W 3,
67,Wed Mar 9 2022,7:30p,,Box Score,,Phoenix Suns,L,,90,111,44,23,L 1,
68,Fri Mar 11 2022,8:00p,,Box Score,,Cleveland Cavaliers,W,,117,105,45,23,W 1,
69,Sat Mar 12 2022,8:00p,,Box Score,,Minnesota Timberwolves,L,,104,113,45,24,L 1,
70,Tue Mar 15 2022,7:30p,,Box Score,,Detroit Pistons,W,,105,98,46,24,W 1,
71,Fri Mar 18 2022,8:00p,,Box Score,,Oklahoma City Thunder,W,,120,108,47,24,W 2,
72,Mon Mar 21 2022,7:30p,,Box Score,@,Philadelphia 76ers,L,,106,113,47,25,L 1,
73,Wed Mar 23 2022,7:30p,,Box Score,,Golden State Warriors,L,,104,118,47,26,L 2,
74,Fri Mar 25 2022,8:00p,,Box Score,,New York Knicks,L,,103,111,47,27,L 3,
75,Sat Mar 26 2022,8:00p,,Box Score,,Brooklyn Nets,L,,95,110,47,28,L 4,
76,Mon Mar 28 2022,7:30p,,Box Score,,Sacramento Kings,W,,123,100,48,28,W 1,
77,Wed Mar 30 2022,7:30p,,Box Score,@,Boston Celtics,W,,106,98,49,28,W 2,
78,Sat Apr 2 2022,8:00p,,Box Score,@,Chicago Bulls,W,,127,109,50,28,W 3,
79,Sun Apr 3 2022,7:00p,,Box Score,@,Toronto Raptors,W,,114,109,51,28,W 4,
80,Tue Apr 5 2022,7:30p,,Box Score,,Charlotte Hornets,W,,144,115,52,28,W 5,
81,Fri Apr 8 2022,8:00p,,Box Score,,Atlanta Hawks,W,,113,109,53,28,W 6,
82,Sun Apr 10 2022,7:00p,,Box Score,@,Orlando Magic,L,,111,125,53,29,L 1,
