G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Sat Feb 26 2022,8:00p,,Box Score,,Memphis Grizzlies,L,,110,116,39,22,L 1,
62,Mon Feb 28 2022,7:30p,,Box Score,@,Miami Heat,L,,99,112,39,23,L 2,
63,Thu Mar 3 2022,7:00p,,Box Score,@,Atlanta Hawks,L,,124,130,39,24,L 3,
64,Fri Mar 4 2022,7:30p,,Box Score,,Milwaukee Bucks,L,,112,118,39,25,L 4,
65,Mon Mar 7 2022,7:00p,,Box Score,@,Philadelphia 76ers,L,,106,121,39,26,L 5,
66,Wed Mar 9 2022,7:00p,,Box Score,@,Detroit Pistons,W,,114,108,40,26,W 1,
67,Sat Mar 12 2022,8:00p,,Box Score,,Cleveland Cavaliers,W,,101,91,41,26,W 2,
68,Mon Mar 14 2022,10:00p,,Box Score,@,Sacramento Kings,L,,103,112,41,27,L 1,
69,Wed Mar 16 2022,9:00p,,Box Score,@,Utah Jazz,L,,110,125,41,28,L 2,
70,Fri Mar 18 2022,10:00p,,Box Score,@,Phoenix Suns,L,,102,129,41,29,L 3,
71,Mon Mar 21 2022,8:00p,,Box Score,,Toronto Raptors,W,,113,99,42,29,W 1,
72,Tue Mar 22 2022,8:00p,,Box Score,@,Milwaukee Bucks,L,,98,126,42,30,L 1,
73,Thu Mar 24 2022,8:00p,,Box Score,@,New Orleans Pelicans,L,,109,126,42,31,L 2,
74,Sat Mar 26 2022,8:00p,,Box Score,@,Cleveland Cavaliers,W,,98,94,43,31,W 1,
75,Mon Mar 28 2022,7:30p,,Box Score,@,New York Knicks,L,,104,109,43,32,L 1,
76,Tue Mar 29 2022,7:00p,,Box Score,@,Washington Wizards,W,,107,94,44,32,W 1,
77,Thu Mar 31 2022,8:00p,,Box Score,,Los Angeles Clippers,W,OT,135,130,45,32,W 2,
78,Sat Apr 2 2022,8:00p,,Box Score,,Miami Heat,L,,109,127,45,33,L 1,
79,Tue Apr 5 2022,8:00p,,Box Score,,Milwaukee Bucks,L,,106,127,45,34,L 2,
80,Wed Apr 6 2022,8:00p,,Box Score,,Boston Celtics,L,,94,117,45,35,L 3,
81,Fri Apr 8 2022,8:00p,,Box Score,,Charlotte Hornets,L,,117,133,45,36,L 4,
82,Sun Apr 10 2022,8:30p,,Box Score,@,Minnesota Timberwolves,W,,124,120,46,36,W 1,
